Country Name,reduced_cotwo_emi,Year,Value,Indicator Name
Estonia,1,1993,3639.26919246544,en_use
Finland,1,1993,5617.21537795619,en_use
France,1,1993,4001.9422846679,en_use
United Kingdom,1,1993,3713.18581904964,en_use
Greece,1,1993,2090.7623645907,en_use
Hungary,1,1993,2481.44841194174,en_use
Ireland,1,1993,2813.7104646445,en_use
Iceland,0,1993,8249.53644895251,en_use
Israel,0,1993,2634.6740163467,en_use
Italy,1,1993,2611.99043754026,en_use
Japan,0,1993,3655.96684264073,en_use
"Korea, Rep.",0,1993,2814.18823120312,en_use
Lithuania,1,1993,2472.21741736099,en_use
Luxembourg,1,1993,9266.94257500472,en_use
Latvia,0,1993,2058.6496260665,en_use
Mexico,0,1993,1536.49057322401,en_use
Netherlands,0,1993,4510.5821521104,en_use
Norway,0,1993,5459.62340830489,en_use
New Zealand,0,1993,3967.87133979061,en_use
Poland,0,1993,2624.64884280888,en_use
Portugal,1,1993,1786.45194148329,en_use
Slovak Republic,1,1993,3334.79434511263,en_use
Slovenia,1,1993,2715.3899141758,en_use
Sweden,1,1993,5334.16649834761,en_use
Turkiye,0,1993,992.880935090626,en_use
United States,1,1993,7709.49658932206,en_use
Australia,0,1994,5103.9479557628,en_use
Austria,1,1994,3234.49298510934,en_use
Belgium,1,1994,5186.18662673891,en_use
Canada,0,1994,7957.24563262571,en_use
Switzerland,1,1994,3494.44714922299,en_use
Chile,0,1994,1201.16266125027,en_use
Colombia,0,1994,768.49620975343,en_use
Costa Rica,0,1994,662.147134891229,en_use
Czechia,1,1994,3963.3140941282,en_use
Germany,0,1994,4088.79812984419,en_use
Denmark,1,1994,3760.57723705289,en_use
Spain,1,1994,2436.01236214986,en_use
Estonia,1,1994,3752.3873275743,en_use
Finland,1,1994,5972.55427268616,en_use
France,1,1994,3836.08693999596,en_use
United Kingdom,1,1994,3732.52111417558,en_use
Greece,1,1994,2138.25195316773,en_use
Hungary,1,1994,2406.68835208692,en_use
Ireland,1,1994,2941.61324158461,en_use
Iceland,0,1994,8293.41292604719,en_use
Israel,0,1994,2738.39970364882,en_use
Italy,1,1994,2578.46597846012,en_use
Japan,0,1994,3844.28667976801,en_use
"Korea, Rep.",0,1994,2958.40772966166,en_use
Lithuania,1,1994,2220.42036080614,en_use
Luxembourg,1,1994,8823.25246633989,en_use
Latvia,0,1994,1893.9633647553,en_use
Mexico,0,1994,1541.43208814904,en_use
Netherlands,0,1994,4511.79496267204,en_use
Norway,0,1994,5315.24486967133,en_use
New Zealand,0,1994,4055.20055248619,en_use
Poland,0,1994,2496.17270757601,en_use
Portugal,1,1994,1827.69667293031,en_use
Slovak Republic,1,1994,3260.63182395553,en_use
Slovenia,1,1994,2827.91716073293,en_use
Sweden,1,1994,5660.27142343844,en_use
Turkiye,0,1994,963.994217482708,en_use
United States,1,1994,7757.83082249569,en_use
Australia,0,1995,5148.3442101981,en_use
Austria,1,1995,3373.60356545154,en_use
Belgium,1,1995,5267.67067078591,en_use
Canada,0,1995,7979.89844555264,en_use
Switzerland,1,1995,3421.65104058737,en_use
Chile,0,1995,1272.24946513775,en_use
Colombia,0,1995,767.267542562641,en_use
Costa Rica,0,1995,659.848591714863,en_use
Czechia,1,1995,4019.8048793808,en_use
Germany,0,1995,4119.68894801371,en_use
Denmark,1,1995,3706.44018685463,en_use
Spain,1,1995,2537.0726801522,en_use
Estonia,1,1995,3624.43113555714,en_use
Finland,1,1995,5661.9038762361,en_use
France,1,1995,3981.23482804441,en_use
United Kingdom,1,1995,3728.96315226228,en_use
Greece,1,1995,2147.13647870846,en_use
Hungary,1,1995,2503.0778011156,en_use
Ireland,1,1995,2951.91309342806,en_use
Iceland,0,1995,8255.76891441219,en_use
Israel,0,1995,2796.2515779982,en_use
Italy,1,1995,2799.37576154289,en_use
Japan,0,1995,3934.9595606988,en_use
"Korea, Rep.",0,1995,3210.13203581905,en_use
Lithuania,1,1995,2401.12016691733,en_use
Luxembourg,1,1995,7705.40715815234,en_use
Latvia,0,1995,1849.58528097556,en_use
Mexico,0,1995,1464.71123592763,en_use
Netherlands,0,1995,4780.41259573869,en_use
Norway,0,1995,5391.41408116749,en_use
New Zealand,0,1995,4053.69058637774,en_use
Poland,0,1995,2577.52968402797,en_use
Portugal,1,1995,2014.02049993936,en_use
Slovak Republic,1,1995,3315.0479886326,en_use
Slovenia,1,1995,3049.38659371055,en_use
Sweden,1,1995,5702.16504271753,en_use
Turkiye,0,1995,1038.16014335266,en_use
United States,1,1995,7763.75510556636,en_use
Australia,0,1996,5419.10110565474,en_use
Austria,1,1996,3580.42079819656,en_use
Belgium,1,1996,5536.47127489148,en_use
Canada,0,1996,8053.45485804934,en_use
Switzerland,1,1996,3473.20630386674,en_use
Chile,0,1996,1390.03384287745,en_use
Colombia,0,1996,771.764489488631,en_use
Costa Rica,0,1996,647.544440536355,en_use
Czechia,1,1996,4152.93825902856,en_use
Germany,0,1996,4246.55319132624,en_use
Denmark,1,1996,4170.25202381726,en_use
Spain,1,1996,2489.34042171929,en_use
Estonia,1,1996,4043.28995460563,en_use
Finland,1,1996,6070.21209376859,en_use
