country,date,Urbanization_rate,Renewable_elec_output,log_CO2_emissions,log_GDP,log_Population,log_Energy_use
Estonia,2005,68.735,1.08770210681039,9.729651888492471,23.36992209296561,14.119146684976993,8.25515104036885
Estonia,2004,68.862,0.582298136645963,9.726511682066926,23.22025847293011,14.124869236011667,8.267293740026973
Estonia,2003,68.989,0.482330938084457,9.722145515855674,23.01317220344458,14.130847436741202,8.242503223488658
Estonia,2002,69.116,0.351823619092295,9.602118911512907,22.720408863462904,14.137123656657357,8.136454047919958
Estonia,2001,69.242,0.212189084050454,9.63119971185756,22.556590950516217,14.14345799004385,8.172591373256877
Estonia,2000,69.368,0.211441325032304,9.611362290386973,22.46137480567671,14.149827616714296,8.124360474572148
Estonia,1999,69.543,0.19351717464925,9.647840179163476,22.473667103121166,14.14499054856789,8.15011199476501
Estonia,1998,69.733,0.187771388334702,9.706791171236766,22.459174368488885,14.142045727930064,8.21505260957168
Estonia,1997,69.923,0.119331742243437,9.790290858517892,22.36312056211188,14.15165131107947,8.297024153959052
Estonia,1996,70.111,0.0768977260243876,9.768869855811184,22.288964794073053,14.163060495376001,8.305061277521979
Estonia,1995,70.3,0.0920280685609111,9.711061112946469,22.228003213679933,14.177814131405556,8.195728494163491
Estonia,1994,70.487,0.0327797202797203,9.835567319852148,22.139849660675036,14.195668114445809,8.230413998599088
Estonia,1993,70.674,0.0109685203466052,9.816463448192778,22.112827774541703,14.217053986328878,8.199812911870348
Estonia,1992,70.86,0.00845237089003465,10.043753715596756,22.112827774541703,14.242797169099555,8.362679467395273
Estonia,1991,71.046,0.0,10.369426682885887,22.112827774541703,14.261038972861927,8.672895349790847
Estonia,1990,71.231,0.0,10.450044153557904,22.112827774541703,14.26606056150569,8.737730469004331
Finland,2015,85.225,44.49903056985,10.664676485746204,26.180868034067032,15.516530253817432,8.68705412355966
Finland,2014,85.175,38.5804916732752,10.739927391672419,26.339537998431044,15.513236415561355,8.734617662503542
Finland,2013,85.125,35.966992716505,10.823616907460732,26.32672105556161,15.509100814244954,8.718864216378378
Finland,2012,84.841,40.5618440300521,10.807889896737654,26.277349054808486,15.504493577366135,8.744610949469404
Finland,2011,84.313,32.890708969946,10.917347728336171,26.342232182086963,15.499735483380253,8.785484058549482
Finland,2010,83.77,29.9910751915115,11.04336013965529,26.24242134265774,15.495099897167568,8.829048290737898
Finland,2009,83.429,30.1086458810307,10.90010218331509,26.2586198801646,15.490524952667865,8.743420071613114
Finland,2008,83.299,35.8779316045046,10.94484318724477,26.37826523639007,15.485742489630963,8.80540112783125
Finland,2007,83.168,29.9378423287587,11.083736662219058,26.26991901914999,15.481086997664109,8.850216166369387
Finland,2006,83.037,27.2937117309748,11.112834390839446,26.10357448742616,15.476832700149226,8.86965924541058
Finland,2005,82.905,33.2492703522144,10.9234389561517,26.04571709753009,15.47299492951632,8.78920649404868
Finland,2004,82.772,29.8573009493855,11.122603616733375,26.008900334757612,15.469572444226955,8.87288724370937
Finland,2003,82.638,22.6086853402272,11.180372936247032,25.86873767862586,15.466668941167933,8.864750425955512
Finland,2002,82.503,26.4558735241145,11.057860890295775,25.667793095869275,15.464284369225224,8.814268222405133
Finland,2001,82.368,28.9275837070053,11.020088733173202,25.587202340337033,15.46186055918952,8.76586806445331
Finland,2000,82.183,33.4100262947296,10.916877771539957,25.559702838333095,15.459583686210028,8.742445250933278
Finland,1999,81.946,30.512403357473,10.942188818881776,25.630494879822496,15.45750762145739,8.745914479512292
Finland,1998,81.707,34.7855829663517,10.955472835719151,25.621394537639507,15.455186459416081,8.751526163191363
Finland,1997,81.466,29.1300451023476,11.012462628239785,25.566760968332584,15.452531730307536,8.744799042569653
Finland,1996,81.223,25.6021795222925,11.04412750860875,25.60704587358331,15.449557957582705,8.711313550077538
Finland,1995,80.963,30.5223705785898,10.934775220270346,25.622521163043533,15.446277579087608,8.641692091969409
Finland,1994,80.688,27.8222181591016,11.000909132592016,25.36090266211158,15.442461026501666,8.695097384791657
Finland,1993,80.409,31.8259958414512,10.886741363929287,25.214305100662543,15.43815053832233,8.633769344052194
Finland,1992,80.128,34.7509744478129,10.864397858986852,25.44650807679518,15.433311998391078,8.590814043255406
Finland,1991,79.843,31.3817128272342,10.917516423425639,25.573527794480057,15.427692901001214,8.655873545422716
Finland,1990,79.367,29.4517902789782,10.90712593818587,25.6751297383332,15.422231181911664,8.646917303065546
France,2015,79.655,15.8576666299907,12.64811523293514,28.52268657664188,18.013438152055453,8.21419924379041
France,2014,79.394,16.4559049430271,12.631400509845692,28.680430726361912,18.009882459708397,8.205242413726427
France,2013,79.135,17.045286239218,12.732143763912722,28.664873313431606,18.00519999635847,8.251748670173484
France,2012,78.878,14.8273540719154,12.731736831276326,28.618207016442685,18.00003459982386,8.252580182841417
France,2011,78.622,11.5747472478095,12.721984014940244,28.68364445306343,17.99519506500005,8.255290182143968
France,2010,78.369,13.8573593131131,12.759788491558163,28.60376321165283,17.990368117256516,8.298454534556159
France,2009,78.117,13.1271635670849,12.748058216205644,28.62460148936344,17.98543990607558,8.272372752765165
France,2008,77.868,12.9792089338645,12.78888082721356,28.706127213047044,17.98030887739329,8.321490862433897
France,2007,77.621,11.6909263128767,12.802304658982466,28.60956948703549,17.97473323990382,8.322679136596774
France,2006,77.377,10.9475758299498,12.825955344252245,28.47281940477352,17.968568300675948,8.340310417255317
France,2005,77.13,9.86064669736174,12.850074486353313,28.418088980680206,17.96163123466421,8.3634693078328
France,2004,76.883,11.2429885178738,12.842515867793134,28.382264162110992,17.95413205153309,8.366824742509543
France,2003,76.632,11.2300179517866,12.839575177068454,28.24325363779664,17.946781070975103,8.359631476963305
France,2002,76.38,11.5972761591677,12.824410608121013,28.037425371547855,17.939676590193095,8.348944540938811
France,2001,76.127,14.2563718855793,12.839632494227397,27.95140559235265,17.932389128242672,8.353807050374435
France,2000,75.871,12.9678764686538,12.829968349739241,27.942644050764986,17.92509482046688,8.327454091426375
France,1999,75.614,14.4667396980644,12.83469357154398,28.03191026207383,17.918226994711432,8.324579175130081
France,1998,75.417,12.7678574948843,12.851035640778406,28.038556572159862,17.913063152277783,8.331388472454782
France,1997,75.25,13.2645341583911,12.791471740231373,28.00457229432428,17.909354078019042,8.306444659296355
France,1996,75.082,13.4486212585435,12.815731146201786,28.104565398750218,17.90578909844554,8.3410961440543
France,1995,74.912,15.3611250791428,12.772193231321069,28.101708733832417,17.902220382942435,8.289598455272182
France,1994,74.743,17.0581951271932,12.749780862009445,27.963186054068075,17.898584949727976,8.252468748316021
France,1993,74.572,14.238354192661,12.764332085469958,27.910783620747477,17.894845825494155,8.294784940869123
France,1992,74.401,15.4539782744326,12.817621137672825,27.9685398927164,17.890501440098316,8.282758330406343
France,1991,74.229,13.2201978689672,12.849746716266385,27.86946842766046,17.885521067472393,8.305043669973683
France,1990,74.056,13.3698786430456,12.783525264303167,27.86939183673657,17.876723995793295,8.258495990903999
Germany,2015,77.2,29.2317701223308,13.517529499219414,28.842243295726036,18.218400678593376,8.247625895073464
Germany,2014,77.19,26.1300965691114,13.509002652996923,28.989197097538604,18.209743652260315,8.237601482413636
Germany,2013,77.18,24.0725497476084,13.56210468699817,28.948448843008393,18.205574878720217,8.279070400038966
Germany,2012,77.17,23.0004585405584,13.541243040031022,28.891509364256365,18.202845876607284,8.263061453581384
Germany,2011,77.16,20.3832827208232,13.523121826550257,28.952594270171936,18.200968598624975,8.2612206756839
Germany,2010,76.966,16.7270736678142,13.558125009098227,28.854698842778006,18.219505744683758,8.293569379998043
Germany,2009,76.771,16.0785536793646,13.507362478228456,28.858103195926795,18.22103772913441,8.240517301865902
Germany,2008,76.575,14.6992338976639,13.5793975152149,28.951513249401554,18.223571563205144,8.303462891356231
Germany,2007,76.378,13.9380080579109,13.571914268077336,28.862291444311946,18.22547299162897,8.290747181697512
Germany,2006,76.179,11.3220131113963,13.61022423798805,28.72786639168999,18.226810177338727,8.344185253387204
Germany,2005,75.98,10.1502111075024,13.595342824508776,28.677239227679927,18.227938152301494,8.315689648792226
Germany,2004,75.779,9.26747449292675,13.618369249105635,28.665753819863053,18.228505934912963,8.322488866219151
Germany,2003,75.577,7.55297770223143,13.637334994649272,28.547967788020213,18.22872303218683,8.315200217725447
Germany,2002,75.374,7.64270028215289,13.633248839379979,28.362660146718174,18.228169399157668,8.321032627505266
Germany,2001,75.17,6.51244401824412,13.650257541313037,28.296689680667313,18.226488115983997,8.345407003013866
Germany,2000,74.965,6.19853122329914,13.629524414768134,28.297815076246184,18.22480586239107,8.317536735990554
Germany,1999,74.758,5.19722375553122,13.63350403154304,28.41717823224679,18.223451546403624,8.314081002121636
Germany,1998,74.551,4.5081692690654,13.67077919343892,28.437046333261414,18.222805200632447,8.337658339186637
Germany,1997,74.342,4.20830968721431,13.67928697321189,28.42491350847499,18.22265376412574,8.343876734710753
Germany,1996,74.133,4.82139711743973,13.714958905611153,28.5462090824555,18.22119063132797,8.354098376440303
Germany,1995,73.922,4.86698923076346,13.681590975718194,28.5810530663495,18.218295882368807,8.323775648755477
Germany,1994,73.71,4.46168638912425,13.68300503895143,28.421782240216118,18.215356837967676,8.316250890812439
Germany,1993,73.497,3.92737044175262,13.695665648105475,28.35920903106166,18.21188827152404,8.324505064487767
Germany,1992,73.36,3.69796429267415,13.702138479715812,28.387880709429858,18.20531435942443,8.340929461793712
Germany,1991,73.269,3.16875254280307,13.745677083269422,28.256395322093102,18.197710890051887,8.367274816973366
Germany,1990,73.118,3.48635077147813,13.76978981330341,28.202944401728402,18.190424834677664,8.394429793765541
Greece,2015,78.046,28.6557832580757,11.127427676478073,25.999764533070625,16.196988528599828,7.688487922881231
Greece,2014,77.702,24.1880698408915,11.14979688389872,26.184798955938547,16.203577141601734,7.661479028970344
Greece,2013,77.355,25.1234373358546,11.191137682072748,26.199343080178817,16.210238273892546,7.6634126763321815
Greece,2012,77.004,16.7036909052015,11.290860082223347,26.212324659631808,16.217489481300227,7.784985161322272
Greece,2011,76.649,13.7615764212803,11.345077064922107,26.36869839529093,16.222897010317396,7.786868507132599
Greece,2010,76.292,18.3415552495337,11.380302231273095,26.41741863464191,16.224376522958284,7.817267132506004
Greece,2009,75.932,13.3973876321734,11.458904242641985,26.526315803195303,16.223087718747564,7.882564397541907
Greece,2008,75.568,9.1397507629705,11.516983221130973,26.59794004467011,16.220457454971218,7.918080271027707
Greece,2007,75.199,7.32566854299884,11.55513114176049,26.488152283772646,16.217802876843905,7.91416303301475
Greece,2006,74.827,12.7602652087938,11.519938813843732,26.334738297867542,16.21525530125542,7.917037125814262
Greece,2005,74.452,10.7796119608932,11.532221101022966,26.236192127084625,16.21225198351869,7.920828270504569
Greece,2004,74.073,10.0624011698094,11.511380271773874,26.20791156496928,16.209319493045452,7.9056137544131415
Greece,2003,73.689,10.1752871081945,11.515099100911069,26.033364235004317,16.206845357843346,7.888879602437997
Greece,2002,73.303,6.63082769487441,11.478305034273275,25.763875404167816,16.204458926308778,7.862785180879481
Greece,2001,72.913,5.52415404325872,11.47842511335999,25.638192370141944,16.200793262024153,7.855200473502713
Greece,2000,72.716,7.75666822648573,11.455948681693274,25.594315307316716,16.1955944178644,7.827097329924621
Greece,1999,72.597,9.62648041299727,11.378210515075184,25.6832313285226,16.191503999861332,7.779501624367316
Greece,1998,72.478,8.20051970550022,11.375135876226214,25.69604814472412,16.18766928710216,7.779380452860871
Greece,1997,72.358,9.05017093227386,11.335743079981903,25.68721195929745,16.182127168591332,7.73330566867052
Greece,1996,72.239,10.3416566456815,11.323636089209469,25.705924148890226,16.17719449760689,7.699436480309461
Greece,1995,72.119,8.62974890433182,11.324611992450274,25.642358528536583,16.17278779271458,7.6723559911841
Greece,1994,71.998,6.53029890294941,11.28642378143636,25.482030565008326,16.16811582026595,7.66821149231293
Greece,1993,71.878,6.10955240317802,11.265641617260972,25.412860432210493,16.163108786364717,7.645762226280838
Greece,1992,71.757,5.94224311618536,11.266742277896387,25.47879098984741,16.157226167736336,7.66429713131345
Greece,1991,71.635,8.67582463699186,11.236104199851193,25.378589375453537,16.149587341249166,7.647605448338504
Greece,1990,71.467,5.09273903666427,11.233481367036859,25.307121391581365,16.13758381705205,7.651442370723137
Hungary,2015,70.5,10.5826906598115,10.67787134316904,25.55297194036394,16.10227404686323,7.797189292760214
Hungary,2014,70.227,10.6831790963527,10.612168457657326,25.672265721691492,16.104652596641717,7.747379385768267
Hungary,2013,69.953,9.20314253647587,10.615544805320713,25.63359681640508,16.10734638404071,7.728832596626256
Hungary,2012,69.678,7.6396708531832,10.678864278664893,25.58163750872736,16.11010007133349,7.7691900393607645
Hungary,2011,69.358,7.51825425469891,10.755949911058075,25.678686224231008,16.11526444687973,7.824574414657255
Hungary,2010,68.911,8.08113242888871,10.77648448750199,25.60739528672633,16.11809805095544,7.851641329994757
Hungary,2009,68.46,8.06227024618469,10.775619478923332,25.598991689318336,16.120358189486577,7.815651555659337
Hungary,2008,67.943,5.88881948782011,10.878333943869995,25.787919601113853,16.121907277471646,7.877642424881343
Hungary,2007,67.421,4.71221221221221,10.893983680389578,25.666241061569142,16.123658250972117,7.885719070393834
Hungary,2006,66.895,4.16352937895647,10.92339027228399,25.47440145437811,16.12520740239879,7.906273561107686
Hungary,2005,66.365,5.22989148674348,10.931716718050843,25.452520569358843,16.126764567090813,7.912803753098749
Hungary,2004,65.896,2.77678889284443,10.939351716350288,25.368817795063922,16.128753355326218,7.855657741650447
Hungary,2003,65.489,0.98403865866159,10.971432708324473,25.169265162616426,16.130967748893916,7.85601259007489
Hungary,2002,65.081,0.655474735182676,10.925954667158024,24.937005751312252,16.133832081292837,7.8324714036499
Hungary,2001,64.67,0.705753123712756,10.938119386540823,24.7076093010336,16.1366795947849,7.829501045156876
Hungary,2000,64.575,0.690517461851041,10.90841716962296,24.578049608894275,16.138973386393086,7.803492359706152
Hungary,1999,64.702,0.650243180376401,10.966671262146509,24.61658256942646,16.141571035221904,7.820725545619518
